,hashTan,hashVin,DeviceId,TripId,SubTripId,SubtripStartLocation,SubtripEndLocation,SubtripDistance,SubtripTimePeriod,SubtripWayCategory,SubtripWayType,SubtripStreets,SubtripCities,Subtrip_MTFCC,Subtrip_RTTYP,SubtripFrequency
0,5238965894433443661,647717460783199836,2850008858,2850008858_1,2850008858_1_1,"(42.46907, -92.39462)","(43.07029, -91.141525)",151.098,125.0,"{'Highway': 8, 'No_category': 19}","{'Street': 3, 'Road': 3, 'State_Road': 24}","['Avenue of the Saints', 'Doris Lane', 'Giard Townhall', 'KFSC-TV (Waterloo)', 'Sunset Street', ""Stone's Plantation"", 'Bloody Run Drive', 'US 18 Business', 'Norma Avenue', 'East Iowa Street', 'State Highway 13', '205th Street', 'Harness Road', 'C Avenue', 'Dogwood Avenue', 'Indian Creek Road', 'Chicken Ridge Scenic Overlook Park']","['Elkader', 'Lamont', 'Marquette', 'Waterloo', 'Winthrop', 'Strawberry Point', 'Saint Olaf', 'Prairie Du Chien', 'Independence', 'Raymond', 'Farmersburg', 'Masonville', 'McGregor']",['S1100'],['U'],1
1,5238965894433443661,647717460783199836,2850008858,2850008858_1,2850008858_1_2,"(43.05028, -91.14111)","(43.16569, -89.2691)",172.208,130.0,"{'Highway': 10, 'No_category': 22}","{'Street': 1, 'Road': 1, 'State_Road': 27}","['I 90', 'Enke Road', ""Rocky's Liquor"", 'Section Line Road', 'Hi-Point Road', 'Bridgeport Inn', 'West Broadway', 'Cascade Aerator', 'US Highway 18', 'Sugar River', ""Cabela's"", 'Great River Road', '1st Street', 'Route 66 Street', 'US Highway 18 and 151', ""Elaine's Court"", 'Prairie Lakes Drive', 'Hicklin Hollow Road', 'Rayovac Drive', 'Casler Cemetery', 'Bowl-A-Vard Lanes', 'East Main Street', 'County Road PD', 'County Road ID', 'Wilson Street', 'County Road XX', 'Fennimore Community School']","['Cobb', 'Patch Grove', 'Montfort', 'Madison', 'Prairie Du Chien', 'Mount Hope', 'Cottage Grove', 'Fennimore', 'Barneveld', 'Dodgeville', 'Ridgeway', 'Verona', 'Mount Horeb']",['S1100'],"['I', 'U']",1
2,5238965894433443661,647717460783199836,2850008858,2850008858_2,2850008858_2_1,"(43.1592, -89.308304)","(43.029427, -91.126785)",167.107,135.0,"{'Highway': 4, 'No_category': 27}","{'Street': 2, 'Road': 2, 'State_Road': 26}","['Tormey Road', 'Bethlehem Road', 'Wisconsin Badger Camp', 'State Highway 19', 'Section Line Road', 'Sixmile Creek', 'Windsor Place Inn', 'St. Therese Chapel SSPX', 'Union Cemetery', 'County Highway P', '900 East Main Street', 'Grant Street', 'Great River Road', 'Kittleson Krest Park', 'Pine Road', 'East Main Street', 'Ridgeview Road', 'WJTY-FM (Lancaster)', ""Lands' End"", 'County Road ID', 'Eller Street', 'Rolling Acres Lane', 'County Road XX']","['Blue Mounds', 'Cobb', 'Waunakee', 'Cross Plains', 'Windsor', 'Montfort', 'Prairie Du Chien', 'Mount Hope', 'Fennimore', 'Dane', 'Barneveld', 'Dodgeville', 'Ridgeway', 'Mount Horeb']",['S1100'],"['I', 'U']",2
3,5238965894433443661,647717460783199836,2850008858,2850008858_3,2850008858_3_1,"(43.042988, -91.14072)","(42.21645, -89.106224)",249.131,217.267,"{'Highway': 11, 'No_category': 40}","{'Street': 3, 'State_Road': 41}","[""Love's"", 'Wisconsin Badger Camp', 'Dodge Cemetery', 'US Highway 61', 'Prairie Road', 'N244 State Highway 69', 'South Cherry Hill Road', 'Cudahy Road', 'Hamestreet School', 'Grove Creek', 'Windsor Place Inn', '5176 Old County B', 'Gagnier Drive', 'Debuhr Lane', 'Blockhouse Creek', 'Great River Road', 'West Willow Street', 'WI 69', 'Hying Road', 'Mud Lane', 'N1985 Alphorn Road', 'East Currier Road', 'W7499 State Highway 11', 'US 20 West', '3357 State Highway 11', 'Komprood Road', 'West Cedar Creek Road', 'State Highway 23', '14449 West State Road', 'State Highway 35/133', 'North Fork Kent Creek', 'Porter Bridge Road', 'Woodland Court', 'True Road', 'W9147 Coumty Highway MM', 'Diesel Doctors', 'Meadow View Lane', 'Bush Creek', 'US Highway 151', 'Hog Hollow Lane']","['Potosi', 'Bloomington', 'Lancaster', 'Dickeyville', 'Shullsburg', 'Gratiot', 'Platteville', 'Patch Grove', 'Orangeville', 'Browntown', 'Rockford', 'Winnebago', 'Darlington', 'Cuba City', 'Pecatonica', 'Prairie Du Chien', 'South Wayne', 'Freeport', 'Monroe']",['S1100'],"['U', 'S']",1
4,5238965894433443661,647717460783199836,2850008858,2850008858_3,2850008858_3_2,"(42.23088, -88.974625)","(41.562508, -87.357056)",171.435,150.0,"{'Steps': 23, 'Highway': 36, 'No_category': 2}","{'Street': 2, 'Road': 1, 'State_Road': 30}","['East End Park', ""Love's"", '1100 Davis Road', 'North Rust Trail', 'East McConnor Parkway', 'Fern Hill Road', 'Harding Road', 'Jane Addams Memorial Tollway', 'Westview Avenue', 'Apache', 'Borman Expressway', 'Bernadine Street', 'Virginia Avenue', 'I 290 East', 'South Blossom Drive', 'East 173rd Place', 'I 290 West', 'Coon Creek', 'Marengo-Hampshire Toll Plaza 7', 'Shepard Road', '175th Street', 'Carlson Drive', 'Tri-State Tollway', 'I 94 West', 'West 159th Street', 'Leekwanai Trail South', 'Hoffman Boulevard']","['Gilberts', 'Willow Springs', 'South Holland', 'Thornton', 'Hammond', 'Streamwood', 'Dundee', 'Berkeley', 'Schaumburg', 'Lansing', 'Garden Prairie', 'Cherry Valley', 'Worth', 'Hillside', 'Homewood', 'Gary', 'Western Springs']",['S1100'],"['M', 'I']",2
5,5238965894433443661,647717460783199836,2850008858,2850008858_4,2850008858_4_1,"(41.594357, -87.21697)","(41.57373, -87.48225)",22.616,20.0,"{'Highway': 4, 'No_category': 2}","{'Street': 2, 'State_Road': 4}","['US 41 South', ""Bellaboo's Play and Discovery Center"", 'West 27th Avenue', 'Interstate Plaza Drive']","['Portage', 'Hammond', 'Gary']",['S1100'],['I'],1
6,5238965894433443661,647717460783199836,2850008858,2850008858_4,2850008858_4_2,"(41.57786, -87.55373)","(41.663082, -88.5299)",101.306,85.0,"{'Steps': 6, 'Highway': 12, 'No_category': 12}","{'Street': 2, 'Road': 9, 'State_Road': 12}","['Cokes Road', 'Southeast Frontage Road', '188th Street', '1204 North Bridge Street', '1607 Cottonwood Trail', 'East Aux Sable Creek', 'Yorkville Baptist Church', 'Lily Cache Creek', 'Spring Creek', 'Veterans Memorial Tollway', 'I 80', 'Block Road', '171st Street', 'Michigan Street', 'Plano Molding', 'YMCA']","['Plainfield', 'Mokena', 'Lisle', 'Lansing', 'Lockport', 'Plano', 'Country Club Hills', 'Homewood', 'Yorkville']",['S1100'],"['M', 'I']",1
7,5238965894433443661,647717460783199836,2850008858,2850008858_4,2850008858_4_3,"(41.656475, -88.55883)","(41.64866, -88.600266)",3.548,5.0,{'No_category': 2},"{'Street': 1, 'Road': 2, 'State_Road': 1}",['Duvick Avenue'],"['Sandwich', 'Plano']",[],[],1
8,5238965894433443661,647717460783199836,2850008858,2850008858_4,2850008858_4_4,"(41.645046, -88.61359)","(41.899693, -88.74026)",42.581,40.0,"{'Steps': 4, 'Highway': 2, 'No_category': 9}","{'Street': 5, 'Road': 2, 'State_Road': 9}","['US 34', 'Nestle USA Warehouse', 'State Route 23', 'Willow Run Drive', 'Watson Road', 'Mobil', 'Terrace Court']","['Leland', 'Somonauk', 'Cortland', 'Sandwich', 'Dekalb', 'Waterman']",[],[],1
9,5238965894433443661,647717460783199836,2850008858,2850008858_4,2850008858_4_5,"(41.903843, -88.767654)","(43.07018, -91.1386)",317.192,220.0,"{'Steps': 8, 'Highway': 31, 'No_category': 22}","{'Street': 2, 'Road': 1, 'State_Road': 44}","['Rocky Rococo', 'Monona Drive', 'Section Line Road', 'Ruste Road', 'Norma Avenue', 'Jane Addams Memorial Tollway', 'Campbell Hollow Road', 'Montfort Bike Path', 'Deerfield Drive', 'Swedish Heritage Park', 'Sunney Road', 'Church Street', 'US Highway 18', 'Dodgeville Expressway', 'South 9th Street', 'East Keane Street', 'I 39 North', 'Welcome to Illinois', 'Verona Road', 'Cliffhaven Road', 'County Farm Road', 'Rochelle Municipal Utilites', 'Brookes WayLane', 'South Locust Road', 'Oak Road', 'Camp Hillcrest Drive', 'Verona Area Soccer Club', 'Casler Cemetery', 'Beverage Boulevard', 'Haugen Road', 'Hammen Road', 'Ridgeview Road', 'Utopia Lane', 'County Road ID', 'Holzer Lane', 'East Creek Road', 'North Lynnville Road', 'Summerwind Street', 'De Kalb Toll Plaza', 'Badger Mill Creek', 'North Pine Road', 'Freeway Court', 'IL 72', 'West Main Street', 'Monroe Street']","['Roscoe', 'Mount Hope', 'Esmond', 'Barneveld', 'Janesville', 'Dekalb', 'Ridgeway', 'Malta', 'Fennimore', 'Lindenwood', 'Dodgeville', 'Milton', 'Blue Mounds', 'Creston', 'Cobb', 'Edgerton', 'Montfort', 'Prairie Du Chien', 'Mount Horeb', 'Monroe Center', 'Madison', 'Verona']",['S1100'],"['I', 'U']",1
