,hashTan,hashVin,DeviceId,TripId,TripStartLocation,TripEndLocation,TripDistance,TripWayCategory,TripWayType,TripStreets,TripCities,Trip_MTFCC,Trip_RTTYP,TripFrequency
0,5238965894433443661,647717460783199836,2850008858,2850008858_1,"(42.46907, -92.39462)","(43.16569, -89.2691)",323.306,"{'Highway': 18, 'No_category': 41}","{'Street': 4, 'Road': 4, 'State_Road': 51}","['I 90', 'Enke Road', ""Rocky's Liquor"", 'Doris Lane', 'Sunset Street', ""Stone's Plantation"", 'Norma Avenue', 'Section Line Road', 'Hi-Point Road', 'Bridgeport Inn', 'West Broadway', 'Cascade Aerator', 'C Avenue', 'Chicken Ridge Scenic Overlook Park', 'Avenue of the Saints', 'US Highway 18', 'Sugar River', ""Cabela's"", 'East Iowa Street', 'Great River Road', '1st Street', 'State Highway 13', '205th Street', 'Route 66 Street', 'Indian Creek Road', 'US Highway 18 and 151', ""Elaine's Court"", 'Prairie Lakes Drive', 'US 18 Business', 'Hicklin Hollow Road', 'Rayovac Drive', 'Casler Cemetery', 'Bowl-A-Vard Lanes', 'East Main Street', 'Harness Road', 'County Road PD', 'County Road ID', 'Wilson Street', 'County Road XX', 'Bloody Run Drive', 'KFSC-TV (Waterloo)', 'Fennimore Community School', 'Dogwood Avenue', 'Giard Townhall']","['Winthrop', 'Strawberry Point', 'Mount Hope', 'Independence', 'Barneveld', 'Ridgeway', 'Marquette', 'Patch Grove', 'Waterloo', 'Fennimore', 'Farmersburg', 'Dodgeville', 'McGregor', 'Cobb', 'Elkader', 'Lamont', 'Montfort', 'Prairie Du Chien', 'Cottage Grove', 'Mount Horeb', 'Madison', 'Saint Olaf', 'Raymond', 'Masonville', 'Verona']",['S1100'],"['I', 'U']",1
1,5238965894433443661,647717460783199836,2850008858,2850008858_2,"(43.1592, -89.308304)","(43.029427, -91.126785)",167.107,"{'Highway': 4, 'No_category': 27}","{'Street': 2, 'Road': 2, 'State_Road': 26}","['Tormey Road', 'Bethlehem Road', 'Wisconsin Badger Camp', 'State Highway 19', 'Section Line Road', 'Sixmile Creek', 'Windsor Place Inn', 'St. Therese Chapel SSPX', 'Union Cemetery', 'County Highway P', '900 East Main Street', 'Grant Street', 'Great River Road', 'Kittleson Krest Park', 'Pine Road', 'East Main Street', 'Ridgeview Road', 'WJTY-FM (Lancaster)', ""Lands' End"", 'County Road ID', 'Eller Street', 'Rolling Acres Lane', 'County Road XX']","['Cobb', 'Blue Mounds', 'Waunakee', 'Cross Plains', 'Windsor', 'Montfort', 'Prairie Du Chien', 'Mount Hope', 'Fennimore', 'Dane', 'Barneveld', 'Dodgeville', 'Ridgeway', 'Mount Horeb']",['S1100'],"['I', 'U']",1
2,5238965894433443661,647717460783199836,2850008858,2850008858_3,"(43.042988, -91.14072)","(41.562508, -87.357056)",420.566,"{'Highway': 47, 'No_category': 42, 'Steps': 23}","{'Street': 5, 'State_Road': 71, 'Road': 1}","['East End Park', ""Love's"", '1100 Davis Road', 'Wisconsin Badger Camp', 'Dodge Cemetery', 'North Rust Trail', 'East McConnor Parkway', 'US Highway 61', 'Prairie Road', 'Fern Hill Road', 'Harding Road', 'Jane Addams Memorial Tollway', 'N244 State Highway 69', 'Grove Creek', 'Hamestreet School', 'South Cherry Hill Road', 'Cudahy Road', 'Windsor Place Inn', 'Westview Avenue', 'Apache', '5176 Old County B', 'Gagnier Drive', 'Debuhr Lane', 'Hog Hollow Lane', 'Blockhouse Creek', 'Great River Road', 'West Willow Street', 'WI 69', 'Hying Road', 'Mud Lane', 'N1985 Alphorn Road', 'East Currier Road', 'Borman Expressway', 'Bernadine Street', 'W7499 State Highway 11', 'US 20 West', 'Virginia Avenue', '3357 State Highway 11', 'Komprood Road', 'I 290 East', 'West Cedar Creek Road', 'State Highway 23', '14449 West State Road', 'South Blossom Drive', 'East 173rd Place', 'State Highway 35/133', 'I 290 West', 'North Fork Kent Creek', 'Coon Creek', 'Marengo-Hampshire Toll Plaza 7', 'Shepard Road', 'Porter Bridge Road', 'Woodland Court', '175th Street', 'True Road', 'Carlson Drive', 'Tri-State Tollway', 'I 94 West', 'West 159th Street', 'Diesel Doctors', 'Meadow View Lane', 'Bush Creek', 'Leekwanai Trail South', 'US Highway 151', 'Hoffman Boulevard', 'W9147 Coumty Highway MM']","['Dundee', 'Schaumburg', 'Potosi', 'Bloomington', 'Lancaster', 'Dickeyville', 'Shullsburg', 'Western Springs', 'Gratiot', 'Platteville', 'Willow Springs', 'South Holland', 'Patch Grove', 'Hammond', 'Orangeville', 'Garden Prairie', 'Cherry Valley', 'Homewood', 'Browntown', 'Rockford', 'Winnebago', 'Darlington', 'Cuba City', 'Thornton', 'Pecatonica', 'Streamwood', 'Prairie Du Chien', 'South Wayne', 'Lansing', 'Freeport', 'Hillside', 'Gary', 'Monroe', 'Gilberts', 'Berkeley', 'Worth']",['S1100'],"['M', 'S', 'I', 'U']",1
3,5238965894433443661,647717460783199836,2850008858,2850008858_4,"(41.594357, -87.21697)","(43.07018, -91.1386)",487.243,"{'Highway': 49, 'No_category': 47, 'Steps': 18}","{'Street': 12, 'State_Road': 70, 'Road': 14}","['US 34', 'Rocky Rococo', '188th Street', '1204 North Bridge Street', 'Watson Road', 'Monona Drive', 'Section Line Road', 'Ruste Road', 'Norma Avenue', ""Bellaboo's Play and Discovery Center"", 'Lily Cache Creek', 'Jane Addams Memorial Tollway', 'Veterans Memorial Tollway', 'Campbell Hollow Road', 'Mobil', 'Montfort Bike Path', 'West Main Street', 'Deerfield Drive', 'Swedish Heritage Park', 'Sunney Road', 'Church Street', 'US Highway 18', 'Dodgeville Expressway', 'South 9th Street', 'Willow Run Drive', '1607 Cottonwood Trail', 'East Keane Street', 'I 39 North', 'Welcome to Illinois', 'Verona Road', 'West 27th Avenue', 'Cliffhaven Road', 'County Farm Road', 'Rochelle Municipal Utilites', 'I 80', 'Michigan Street', 'Plano Molding', 'Brookes WayLane', 'South Locust Road', 'Cokes Road', 'Oak Road', 'Camp Hillcrest Drive', 'State Route 23', 'Verona Area Soccer Club', 'East Aux Sable Creek', 'Interstate Plaza Drive', 'Casler Cemetery', 'Beverage Boulevard', 'US 41 South', 'Haugen Road', 'Hammen Road', 'Ridgeview Road', 'Utopia Lane', 'Terrace Court', 'County Road ID', 'YMCA', 'Holzer Lane', 'East Creek Road', 'Southeast Frontage Road', 'Nestle USA Warehouse', 'North Lynnville Road', 'Summerwind Street', 'De Kalb Toll Plaza', 'Badger Mill Creek', 'Yorkville Baptist Church', 'North Pine Road', 'Freeway Court', 'IL 72', 'Spring Creek', 'Monroe Street', 'Duvick Avenue', 'Block Road', '171st Street']","['Mokena', 'Roscoe', 'Lisle', 'Mount Hope', 'Esmond', 'Plano', 'Barneveld', 'Janesville', 'Dekalb', 'Ridgeway', 'Malta', 'Hammond', 'Cortland', 'Lockport', 'Fennimore', 'Lindenwood', 'Homewood', 'Yorkville', 'Waterman', 'Dodgeville', 'Milton', 'Plainfield', 'Blue Mounds', 'Creston', 'Cobb', 'Somonauk', 'Edgerton', 'Montfort', 'Prairie Du Chien', 'Lansing', 'Gary', 'Mount Horeb', 'Leland', 'Monroe Center', 'Madison', 'Sandwich', 'Country Club Hills', 'Portage', 'Verona']",['S1100'],"['M', 'I', 'U']",1
4,5238965894433443661,647717460783199836,2850008858,2850008858_5,"(43.042652, -91.14066)","(42.48517, -87.94977)",307.392,"{'Highway': 21, 'No_category': 39}","{'Street': 4, 'Road': 3, 'State_Road': 47}","['US 12', 'The Market Place', 'WLCB-LP Broadcast Tower', 'Kenosha County Public Works', 'US 51', '11900 108th Street', 'Drifters Bar & Grill', 'Temple Drive', 'Brown School Road', 'Roidt Drive', 'Ihm Harris Road', 'State Highway 50', 'US Highway 18', 'County Road P', 'Dodgeville Expressway', 'Discount Tire', 'Koshkonong Road', 'Park Road', 'Great River Road', 'I 39 North', 'South Beltline Highway', 'Kies Lane', '700 South 2nd Street', 'Travel Centers of America - Janesville', '142nd Avenue', 'Dairy Ridge Road', 'South Woodpine Drive', 'Kwik Trip', 'Travel Centers of America - Chicago North', 'Lake Drive Road', 'WI 35', 'WI 80', 'Holzer Lane', 'Prairie Heights Drive', 'I 43 ALT', 'Aschliman Road', 'Chalet Ski and Patio', 'McCarthy School Park', '1st Avenue', 'Mills Market', 'Village Circle', 'I 90 Alternate', 'I 43 North', 'Salem Mound Cemetery', 'Bergstrom Cadillac']","['Delavan', 'Mount Hope', 'Janesville', 'Ridgeway', 'Patch Grove', 'Fennimore', 'Salem', 'Dodgeville', 'Milton', 'Cobb', 'Blue Mounds', 'Edgerton', 'Montfort', 'Prairie Du Chien', 'Darien', 'Bristol', 'Lake Geneva', 'Mount Horeb', 'Whitewater', 'Madison', 'Russell', 'Verona', 'New Munster']",['S1100'],"['I', 'U']",1
5,5238965894433443661,647717460783199836,2850008858,2850008858_6,"(42.44868, -87.95906)","(43.029125, -91.12712)",524.127,"{'Steps': 10, 'Highway': 44, 'No_category': 66}","{'Street': 14, 'State_Road': 85, 'Road': 7}","['Commerce Drive', 'East L T Townline Road', 'Pitzner Parkway', 'Gamers HQ', ""Jimmy John's"", 'I 39 North', 'Dundee Avenue', '2020 North Randall Road', 'Belisle Road', 'US 18', ""Cabela's Deli & Grill"", '254 US 18', 'IL 59', 'CTH G', 'Verona Road Frontage Road', 'State Highway 35/133', 'Hawthorne Lane', 'Grand Avenue', 'Iron Street', 'West Beltline Frontage Road', 'Shell', 'Klinkhammer Lane', 'US 151', 'Wild Goose Trail Parking', 'North Harmony Town Hall Road', 'IL 47', '5225 Prairie Stone Parkway', 'Carlson Road', 'US Highway 18', 'Great River Road', 'Pine Road', 'East Washington Avenue', 'Sandy Lane', 'South Thompson Drive', 'Gurnee Mills Mall', 'Ridgeview Road', 'East Misty Hill Lane', 'South Carol Street', 'Weiner Road', 'Leon Drive', 'Second Street Road', 'Bellwood Animal Hospital', 'Tormey Road', 'Mill Creek', 'Algonquin Road', 'Norma Avenue', 'Toll Authority Comunications', 'Ipsen Road', 'I 43 Alternate', 'Zurbuchen Drive', 'W3941 State Highway 33', 'Frontage Road', 'Oakland Avenue', 'Genoa Road', 'Highgate Lane', 'Old Hickory Clubhouse', 'State Highway 60', ""Coach's Family Resterant"", ""Casey's General Store"", 'State Highway 33', 'Jane Addams Memorial Tollway', 'Super 8', 'Juniper Street', 'Walmart Supercenter', 'Blue Vista Road', 'Dodgeville Expressway', 'Water Street', 'Commerce Street', 'Salem Cemetery', 'Old 26', 'Interlake Drive', 'Rice Road', 'Lorraine Court', 'Old Iroquois Road', 'WI 35', 'WJTY-FM (Lancaster)', 'Beacon Lane', 'Glacial River Trail', 'Huron Street', 'Twin Lane Road', 'Hoard Road', 'Robbins Creek']","['Roscoe', 'Schaumburg', 'Mount Hope', 'Wadsworth', 'Barrington', 'Barneveld', 'Janesville', 'Ridgeway', 'Caledonia', 'Clyman', 'Fort Atkinson', 'Patch Grove', 'Belvidere', 'Garden Prairie', 'Iron Ridge', 'Fennimore', 'Beaver Dam', 'Horicon', 'Milton', 'Dodgeville', 'Blue Mounds', 'Cobb', 'Montfort', 'Prairie Du Chien', 'Gurnee', 'Columbus', 'Wauconda', 'Mount Horeb', 'Sun Prairie', 'Juneau', 'Gilberts', 'Madison', 'Watertown', 'Lake Villa', 'Mayville', 'Hoffman Estates', 'Grayslake', 'Rubicon', 'Verona']",['S1100'],"['M', 'U', 'I', 'S']",1
6,5238965894433443661,647717460783199836,2850008858,2850008858_7,"(43.0392, -91.13935)","(43.398544, -88.53785)",246.807,"{'No_category': 32, 'Highway': 16}","{'Street': 5, 'State_Road': 38, 'Road': 2}","['Whitson View School', 'Norma Avenue', 'Mary Lane', '2nd Street', 'County Road J', 'West Broadway', 'Campbell Hollow Road', 'US 151 Business', 'Ice Age Trail Junction Area', 'Halverson Road', ""Cabela's"", 'Empire Drive', 'Great River Road', 'Salem Cemetery', 'Maunesha River', 'Route 66 Street', 'S Beltline Ft & Seminole (WB)', 'US Highway 18 and 151', 'Prairie Lakes Drive', ""McDonald's"", 'La-Z-Boy', 'Blake Fork', 'I 94 ALT', 'County Road PD', 'Utopia Lane', 'Industrial Drive', 'South Wind Trail', 'Epic Farm', 'Weiner Road', 'Pine Grove School', 'Iron Street', 'Memorial County Park', 'Limetown Coutry', 'Anderson Lane', 'Hi-Point Steak house', 'Prairie Cemetery', 'State Highway 33']","['Montfort', 'Madison', 'Prairie Du Chien', 'Mayville', 'Mount Hope', 'Fennimore', 'Iron Ridge', 'Barneveld', 'Columbus', 'Beaver Dam', 'Horicon', 'Dodgeville', 'Ridgeway', 'Verona', 'Mount Horeb', 'Sun Prairie']",['S1100'],"['I', 'U']",1
7,5238965894433443661,647717460783199836,2850008858,2850008858_8,"(43.443127, -88.56189)","(43.07031, -91.1415)",248.126,"{'Highway': 18, 'No_category': 32}","{'Street': 3, 'State_Road': 40}","['BP', 'Kalas Street', 'Branch Road', 'East Lake Street', 'US 151', 'Norma Avenue', 'South 8th Street', 'South Marquette Road', 'Campbell Hollow Road', 'Ihm Harris Road', 'North Marquette Road', 'A9', 'Sunney Road', 'US Highway 18', 'Wrucke Cemetery', 'Ron del Road', 'I 39 North', 'Dale Drive', '1st Street', 'County Road D', 'Oak Road', 'US 18', 'State Highway 39', 'Rayovac Drive', 'Casler Cemetery', 'Dairy Ridge Road', 'I 94 ALT', 'Ivory Drive', 'Harriman Lane', 'Longview Court', 'BLue Mounds Lutheran Cemetery', 'AMS', 'Oakwood Memorial Gardens Cemetery', 'Aschliman Road', 'Wilson Street', 'Investment Court', 'Edgington Road', 'State Highway 33']","['Blue Mounds', 'Cobb', 'Montfort', 'Madison', 'De Forest', 'Prairie Du Chien', 'Mount Hope', 'Cottage Grove', 'Fennimore', 'Columbus', 'Beaver Dam', 'Horicon', 'Dodgeville', 'Ridgeway', 'Verona', 'Mount Horeb', 'Sun Prairie']",['S1100'],"['I', 'U']",1
8,5238965894433443661,647717460783199836,2850008858,2850008858_9,"(43.049774, -91.14093)","(43.95595, -92.28176)",715.403,"{'Highway': 39, 'No_category': 81}","{'Street': 7, 'Road': 3, 'State_Road': 104}","['Ridgeview Early Learning Center', 'Fish Road', 'Branch Road', 'County Road JJ', 'Porsche Madison', '14812 State Highway 35', 'US 151 Business', 'Main Street', ""Cabela's"", 'East Keane Street', 'Kittleson Krest Park', '711 East Washington Street', 'South Beltline Highway', 'Kies Lane', '100th Avenue Southeast', '254 US 18', 'County Road BI', 'South 10th Street', 'State Highway 82', 'County Road ID', 'County Road 32', 'Lovers Lane', 'Gordons Bay', 'Fennimore Community School', '430 Lincoln Avenue', 'I 90', 'South Industrial Boulevard', 'Greenway Road', 'US 151', 'Wild Goose Trail Parking', ""Angee B'z"", '4101 Mormon Coulee Rd', 'County Highway FD', 'Willow Road', 'Lands End Lane', 'Sunney Road', 'US Highway 18', 'Wilson Frontage Road', 'Park Avenue', 'Great River Road', 'CTH KW', 'State Highway 35', 'I 90 East', 'Verona Area Soccer Club', 'St Charles Twprd 24', 'Ridgeview Road', 'Harriman Lane', 'Holzer Lane', 'Citgo', 'Glacier Hill Drive', 'West Main Street', 'Tormey Road', 'Bond Lane', 'BP', 'Depot Road', 'Wabasha Avenue', 'State Highway 26', 'Norma Avenue', 'Hi-Point Road', 'Campbell Hollow Road', 'County Road P', 'Park Road', 'Enterprise Valley Drive', 'Lock and Dam 7', 'S5631 State Highway 35', 'Little Houska Park', 'Ridgeway Community School', 'State Highway 60', 'Baden Street', 'Wayside Drive', 'Fennimore Railroad Historical Society Museum', 'Oakwood Boulevard', 'Section Line Road', 'WI 60', 'Cascade Aerator', 'South Thompson Road', 'O Connor Road', 'Carter Way Road', 'Water Street', 'Dodgeville Expressway', 'Old Highway 35', 'Sugar River', 'Verona Road', 'County Farm Road', 'Leismann Road', 'South Birdsey Street', 'Dakota Creek', 'Bowl-A-Vard Lanes', 'WJTY-FM (Lancaster)', 'Doncaster Park', 'WI 35', 'Shore Acres Drive', 'Robbins Creek']","['Ferryville', 'Mount Hope', 'Barneveld', 'Genoa', 'Lewiston', 'Ridgeway', 'Lowell', 'Patch Grove', 'Hartford', 'Eastman', 'Fennimore', 'Dakota', 'Dodgeville', 'Slinger', 'Cobb', 'Blue Mounds', 'Stoddard', 'Montfort', 'Prairie Du Chien', 'Richfield', 'Columbus', 'Mount Horeb', 'Reeseville', 'Sun Prairie', 'Juneau', 'De Soto', 'Dover', 'Madison', 'La Crescent', 'La Crosse', 'Utica', 'Rubicon', 'Verona']",['S1100'],"['I', 'U']",1
9,5238965894433443661,647717460783199836,2850008858,2850008858_10,"(43.95585, -92.32328)","(44.874397, -93.05668)",125.058,"{'Highway': 16, 'No_category': 9}",{'State_Road': 17},"['2417 53rd Street East', 'Little Cannon River', 'Silas Dent Road Northwest', 'North Fork Zumbro River', 'Coates Boulevard', '113th Avenue Way', 'US 52 South', 'MN 60 West', 'Bishop Avenue East', 'McGroarty Park', '75th Avenue Way', 'Frontage Road', 'Meadow Lane Southwest', 'US 52 North', '700 Treetop Lane Southwest', 'Goodwin Avenue']","['Rochester', 'Inver Grove Heights', 'South Saint Paul', 'Hampton', 'Randolph', 'Zumbrota', 'Cannon Falls', 'Pine Island', 'Oronoco', 'Eyota']",['S1100'],"['I', 'U']",1
